driver_id,total_fare,avg_distance
51,282.18,27.520000000000003
7,17.05,24.29
54,286.98,31.676666666666662
15,480.63,28.1475
11,397.5,21.254
29,339.76,25.2175
69,158.49,27.415
42,331.38,34.456
87,337.35,18.26
64,486.67,22.040000000000003
3,402.57000000000005,14.192499999999999
34,120.09,33.23
59,160.59,28.615000000000002
8,388.65,27.945
22,237.57,21.586666666666662
28,109.27000000000001,18.475
85,137.24,29.275
16,179.73000000000002,18.305
52,430.08,31.775
35,171.94,39.775
71,251.64000000000001,18.189999999999998
98,126.53,32.86
47,149.38,46.29
99,305.9,36.46999999999999
96,272.13,18.023333333333333
5,197.91000000000003,25.7
31,114.17,12.81
100,231.51,38.31
18,380.71,25.4225
70,113.94,30.74
61,146.91000000000003,23.455000000000002
27,193.42000000000002,30.98
75,271.26,30.573333333333334
17,294.48,12.994
26,146.39,25.015
46,45.11,46.11
78,215.75,38.85666666666667
6,92.62,21.84
90,151.01,20.775
19,6.24,40.14
41,251.68,18.564
55,123.65,23.915
93,302.23,33.65333333333333
40,98.29,36.9
25,189.59,34.07
44,465.28,19.098000000000003
82,272.90999999999997,21.3
53,195.52,26.02333333333333
92,219.39,38.34
86,263.94,28.486666666666668
58,441.53999999999996,26.034000000000002
81,29.85,20.7
33,318.5,27.126666666666665
48,88.38999999999999,10.52
67,219.23,42.86000000000001
84,229.56,21.245
79,348.47,34.73
9,338.05,32.346000000000004
24,171.37,15.45
32,271.46000000000004,43.629999999999995
88,209.14999999999998,35.435
1,187.61,23.49
20,562.2900000000001,29.61833333333333
56,98.64,40.97
36,162.43,17.765
10,253.54,38.285
37,207.85999999999999,12.513333333333334
49,424.77000000000004,20.814
63,392.37000000000006,21.665999999999997
65,176.95,19.435
4,60.68,23.23
39,195.18,29.3125
62,241.54,24.75
12,548.74,30.735999999999997
83,180.2,13.745
13,563.1600000000001,29.728333333333335
21,438.76,13.1225
14,343.29999999999995,20.766666666666666
72,319.13000000000005,22.169999999999998
74,157.7,16.375
76,161.92000000000002,13.5
50,651.5,33.205
57,340.88,28.689999999999998
45,102.4,34.81
